ns=3;i=6039	PosIndirect
ns=1;i=1529	TransportProtocol
ns=1;i=1528	Encoding
ns=0;i=15689	Default Binary
ns=0;i=15685	InputArguments
ns=0;i=15686	RemoveIdentity
ns=0;i=15687	InputArguments
ns=0;i=15688	Default Binary
ns=3;i=6118	IsVirtual
ns=0;i=15681	Default Binary
ns=3;i=6119	ActFeedrate
ns=0;i=15682	Default Binary
ns=3;i=6116	EURange
ns=0;i=15683	Default Binary
ns=0;i=15684	AddIdentity
ns=3;i=6117	IsInactive
ns=3;i=6114	CmdTorque
ns=3;i=6115	EngineeringUnits
ns=3;i=6112	EngineeringUnits
ns=0;i=15680	Operator
ns=3;i=6113	EURange
ns=3;i=6110	EURange
ns=3;i=6111	ActTorque
ns=0;i=15696	AddIdentity
ns=0;i=15697	InputArguments
ns=0;i=15698	RemoveIdentity
ns=0;i=15699	InputArguments
ns=0;i=15692	Supervisor
ns=3;i=6129	EngineeringUnits
ns=0;i=15693	Default Binary
ns=3;i=6127	EngineeringUnits
ns=0;i=15694	Default Binary
ns=3;i=6128	ActGear
ns=0;i=15695	Default Binary
ns=3;i=6125	ActPos
ns=3;i=6126	CmdPos
ns=3;i=6123	EURange
ns=3;i=6124	AnglePos
ns=0;i=15691	Default Binary
ns=3;i=6121	EURange
ns=3;i=6122	CmdSpeed
ns=3;i=6120	ActSpeed
ns=3;i=6138	ActGFunctions
ns=3;i=6139	ActJogIncrement
ns=3;i=6137	ActProgramFileOffset
ns=3;i=6135	ActStatus
ns=3;i=6132	ActTurnDirection
ns=3;i=6133	ActProgramName
ns=3;i=6130	CmdGear
ns=3;i=6131	EURange
ns=3;i=6149	ActMFunctions
ns=3;i=6148	ActMainProgramName
ns=3;i=6145	EURange
ns=3;i=6146	EnumValues
ns=3;i=6142	EngineeringUnits
ns=3;i=6140	PosTcpWcsX
ns=0;i=15766	PublishedDataSetDataType
ns=0;i=15769	PublishedDataSetSourceDataType
ns=0;i=14432	RemoveConnection
ns=0;i=14433	InputArguments
ns=0;i=14434	PublishedDataSets
ns=5;i=320	Trigger
ns=5;i=310	Category
ns=5;i=311	DateTime
ns=5;i=312	AckDateTime
ns=5;i=313	Trigger
ns=5;i=314	ID
ns=5;i=315	Value
ns=5;i=316	Message
ns=5;i=317	Category
ns=5;i=318	DateTime
ns=5;i=319	AckDateTime
ns=0;i=15778	DataSetWriterDataType
ns=0;i=14443	PublishSubscribe
ns=0;i=15775	PublishedEventsDataType
ns=0;i=15772	PublishedDataItemsDataType
ns=5;i=300	ID
ns=5;i=301	Value
ns=5;i=302	Message
ns=5;i=303	Category
ns=5;i=304	DateTime
ns=5;i=305	AckDateTime
ns=5;i=306	Trigger
ns=5;i=307	ID
ns=5;i=308	Value
ns=5;i=309	Message
ns=0;i=15784	DataSetWriterMessageDataType
ns=0;i=15787	PubSubGroupDataType
ns=0;i=15781	DataSetWriterTransportDataType
ns=5;i=340	AckDateTime
ns=5;i=341	Trigger
ns=5;i=342	InputArguments
ns=5;i=332	DateTime
ns=5;i=333	AckDateTime
ns=5;i=334	Trigger
ns=5;i=335	ID
ns=5;i=336	Value
ns=5;i=337	Message
ns=5;i=338	Category
ns=5;i=339	DateTime
ns=0;i=15793	WriterGroupTransportDataType
ns=0;i=15794	Reset
ns=5;i=330	Message
ns=5;i=331	Category
ns=5;i=321	ID
ns=5;i=322	Value
ns=5;i=323	Message
ns=5;i=324	Category
ns=5;i=325	DateTime
ns=5;i=326	AckDateTime
ns=5;i=327	Trigger
ns=5;i=328	ID
ns=5;i=329	Value
ns=0;i=15722	RemoveIdentity
ns=0;i=15723	InputArguments
ns=0;i=15724	Default Binary
ns=0;i=15725	Default Binary
ns=0;i=15720	AddIdentity
ns=0;i=15721	InputArguments
ns=5;i=360	StaticStringNodeIdPattern
ns=5;i=361	Reset
ns=5;i=362	SerUnitMode
ns=5;i=363	Clear
ns=5;i=364	Abort
ns=5;i=354	IsNamespaceSubset
ns=5;i=355	NamespacePublicationDate
ns=5;i=356	NamespaceUri
ns=5;i=357	NamespaceVersion
ns=5;i=358	StaticNodeIdTypes
ns=5;i=359	StaticNumericNodeIdRange
ns=0;i=15719	Default Binary
ns=0;i=15715	Default Binary
ns=0;i=15716	ConfigureAdmin
ns=0;i=15717	Default Binary
ns=0;i=15718	Default Binary
ns=0;i=15733	Default Binary
ns=0;i=15734	EndpointType
ns=0;i=15736	Default Binary
ns=0;i=15730	IdentityMappingRuleType
ns=5;i=350	InputArguments
ns=5;i=351	InputArguments
ns=5;i=352	InputArguments
ns=5;i=353	TransitionNumber
ns=5;i=343	StateNumber
ns=5;i=344	InputArguments
ns=5;i=345	StateNumber
ns=0;i=725	EventFilter
ns=5;i=346	InputArguments
ns=5;i=347	InputArguments
ns=0;i=727	Default Binary
ns=5;i=348	InputArguments
ns=0;i=726	Default XML
ns=5;i=349	InputArguments
ns=0;i=15726	Default JSON
ns=0;i=15727	Default Binary
ns=0;i=15728	Default XML
ns=0;i=15729	Default Binary
ns=0;i=15744	TemporaryFileTransferType
ns=0;i=15745	ClientProcessingTimeout
ns=0;i=14415	ServerNetworkGroups
ns=0;i=15746	GenerateFileForRead
ns=0;i=14416	PublishSubscribeType
ns=0;i=15747	InputArguments
ns=0;i=15741	DataTypeSchemaHeader
ns=5;i=380	ToComplete
ns=5;i=381	Stop
ns=5;i=382	Hold
ns=5;i=383	Reset
ns=5;i=384	Start
ns=5;i=385	Suspend
ns=5;i=386	Unhold
ns=5;i=376	Reset
ns=5;i=377	Suspend
ns=5;i=378	Unhold
ns=5;i=379	Unsuspend
ns=0;i=15738	IdentityMappingRuleType
ns=0;i=15755	CurrentState
ns=0;i=15756	Id
ns=0;i=15751	CloseAndCommit
ns=0;i=14420	State
ns=0;i=15752	InputArguments
ns=0;i=15753	OutputArguments
ns=0;i=15754	<TransferState>
ns=0;i=14423	Address
ns=5;i=370	ToComplete
ns=5;i=371	Hold
ns=0;i=15750	OutputArguments
ns=5;i=372	Unsuspend
ns=5;i=373	Reset
ns=5;i=374	Start
ns=5;i=375	Stop
ns=5;i=365	ToComplete
ns=5;i=366	Hold
ns=5;i=367	Suspend
ns=5;i=368	Unhold
ns=5;i=369	Start
ns=0;i=15748	OutputArguments
ns=0;i=14417	<ConnectionName>
ns=0;i=15749	GenerateFileForWrite
ns=0;i=14418	PublisherId
ns=0;i=14419	Status
ns=8;i=6840	TemperatureLimitation
ns=8;i=6841	EURange
ns=8;i=6842	TemperatureMainLine
ns=0;i=19287	ResolvedAddress
ns=0;i=19288	DiagnosticsLevel
ns=0;i=19286	LiveValues
ns=0;i=19283	Classification
ns=8;i=6847	EngineeringUnits
ns=0;i=19284	DiagnosticsLevel
ns=8;i=6848	EngineeringUnits
ns=0;i=19281	StateDisabledByMethod
ns=8;i=6849	EngineeringUnits
ns=0;i=20286	NormalState
ns=0;i=19282	Active
ns=0;i=20287	TrustListId
ns=8;i=6843	EURange
ns=0;i=20288	LastUpdateTime
ns=8;i=6844	TemperatureReturnLine
ns=0;i=20289	UpdateFrequency
ns=8;i=6845	EURange
ns=4;i=17155	SerialNumber
ns=8;i=6846	EngineeringUnits
ns=4;i=17154	Model
ns=4;i=17152	Manufacturer
ns=4;i=17150	BrakeReleased
ns=8;i=6850	EngineeringUnits
ns=8;i=6851	EngineeringUnits
ns=8;i=6852	EngineeringUnits
ns=8;i=6853	EngineeringUnits
ns=0;i=19296	UpdateFrequency
ns=0;i=19297	TrustListOutOfDateAlarmType
ns=0;i=19294	NewValues
ns=8;i=6858	EngineeringUnits
ns=0;i=19295	OldValues
ns=8;i=6859	EngineeringUnits
ns=0;i=19293	PerformInsertReplace
ns=8;i=6854	EngineeringUnits
ns=8;i=6855	EngineeringUnits
ns=8;i=6856	EngineeringUnits
ns=8;i=6857	EngineeringUnits
ns=0;i=15700	Default JSON
ns=0;i=15701	Default Binary
ns=0;i=15702	Default Binary
ns=0;i=15703	Default Binary
ns=8;i=6861	EngineeringUnits
ns=8;i=6862	EngineeringUnits
ns=8;i=6863	EngineeringUnits
ns=8;i=6864	EngineeringUnits
ns=8;i=6860	EngineeringUnits
ns=8;i=6869	EngineeringUnits
ns=8;i=6865	EngineeringUnits
ns=8;i=6866	EngineeringUnits
ns=8;i=6867	EngineeringUnits
ns=8;i=6868	EngineeringUnits
ns=0;i=15711	InputArguments
ns=0;i=15712	Default Binary
ns=0;i=15713	Default Binary
ns=0;i=15714	Default JSON
ns=0;i=15710	RemoveIdentity
ns=8;i=6872	EngineeringUnits
ns=8;i=6873	EngineeringUnits
ns=8;i=6874	EngineeringUnits
ns=8;i=6875	EngineeringUnits
ns=8;i=6870	EngineeringUnits
ns=8;i=6871	EngineeringUnits
ns=8;i=6876	EngineeringUnits
ns=8;i=6877	EngineeringUnits
ns=8;i=6878	EngineeringUnits
ns=8;i=6879	EngineeringUnits
ns=0;i=15708	AddIdentity
ns=4;i=17165	Pitch
ns=0;i=15709	InputArguments
ns=0;i=15704	SecurityAdmin
ns=4;i=17160	ProductCode
ns=0;i=15705	Default Binary
ns=0;i=15706	Default Binary
ns=0;i=15707	Default Binary
ns=0;i=19249	Active
ns=0;i=19248	TotalError
ns=0;i=19245	Classification
ns=0;i=19246	DiagnosticsLevel
ns=0;i=19243	TotalInformation
ns=0;i=19244	Active
ns=0;i=19241	Diagnostics
ns=4;i=17109	ProductCode
ns=0;i=19242	DiagnosticsLevel
ns=8;i=6803	ActualPumpPower
ns=8;i=6804	EURange
ns=8;i=6805	ActualPumpSpeedRPM
ns=8;i=6806	EURange
ns=8;i=6800	EngineeringUnits
ns=8;i=6801	ActualProcessPower
ns=8;i=6802	EURange
ns=8;i=6807	ActualRegulationRatio
ns=8;i=6808	EURange
ns=8;i=6809	DelayTimeAfterCooling
ns=0;i=19258	Classification
ns=0;i=19259	DiagnosticsLevel
ns=0;i=19256	StateError
ns=0;i=19257	Active
ns=0;i=19254	SubError
ns=0;i=19255	Counters
ns=0;i=19253	Reset
ns=0;i=19250	Classification
ns=8;i=6814	ThermocoupleType
ns=0;i=19251	DiagnosticsLevel
ns=8;i=6815	EnumValues
ns=8;i=6816	ValueAsText
ns=4;i=17104	SerialNumber
ns=8;i=6817	Used
ns=4;i=17103	Model
ns=8;i=6810	EURange
ns=8;i=6811	NodeVersion
ns=4;i=17101	Manufacturer
ns=8;i=6812	ActualValue
ns=8;i=6813	EURange
ns=8;i=6818	EngineeringUnits
ns=8;i=6819	EngineeringUnits
ns=0;i=19269	DiagnosticsLevel
ns=0;i=19267	Active
ns=0;i=19268	Classification
ns=8;i=6820	InternalMeasuringPoint
ns=0;i=19266	StateOperationalByParent
ns=0;i=19263	Classification
ns=0;i=19264	DiagnosticsLevel
ns=0;i=19261	StateOperationalByMethod
ns=8;i=6825	PressureMainLine
ns=0;i=19262	Active
ns=8;i=6826	EURange
ns=8;i=6827	PressureReturnLine
ns=8;i=6828	EURange
ns=8;i=6821	EnumValues
ns=8;i=6822	ValueAsText
ns=8;i=6823	EngineeringUnits
ns=8;i=6824	EngineeringUnits
ns=8;i=6829	PumpControlMode
ns=0;i=20249	SuppressedOrShelved
ns=0;i=19278	Classification
ns=8;i=6830	EnumValues
ns=0;i=19279	DiagnosticsLevel
ns=8;i=6831	ValueAsText
ns=0;i=19276	StatePausedByParent
ns=0;i=19277	Active
ns=0;i=19274	DiagnosticsLevel
ns=0;i=19272	Active
ns=8;i=6836	SwitchingOffTemperature
ns=0;i=19273	Classification
ns=8;i=6837	EURange
ns=8;i=6838	EngineeringUnits
ns=0;i=19271	StateOperationalFromError
ns=8;i=6839	EngineeringUnits
ns=8;i=6832	EngineeringUnits
ns=8;i=6833	EngineeringUnits
ns=8;i=6834	StandbyTemperature
ns=8;i=6835	EURange
ns=1;i=1026	CreateSubscriptionCount
ns=1;i=1025	DeleteMonitoredItemsCount
ns=1;i=1028	SetPublishingModeCount
ns=1;i=1027	ModifySubscriptionCount
ns=1;i=1029	PublishCount
ns=1;i=1020	CallCount
ns=1;i=1022	ModifyMonitoredItemsCount
ns=1;i=1021	CreateMonitoredItemsCount
ns=1;i=1024	SetTriggeringCount
ns=1;i=1023	SetMonitoringModeCount
ns=1;i=1037	BrowseCount
ns=1;i=1036	DeleteReferencesCount
ns=1;i=1039	TranslateBrowsePathsToNodeIdsCount
ns=1;i=1038	BrowseNextCount
ns=0;i=18008	DeleteCredential
ns=0;i=18006	UpdateCredential
ns=0;i=18007	InputArguments
ns=0;i=18004	EndpointUrls
ns=0;i=18005	ServiceStatus
ns=1;i=1031	TransferSubscriptionsCount
ns=1;i=1030	RepublishCount
ns=1;i=1033	AddNodesCount
ns=1;i=1032	DeleteSubscriptionsCount
ns=0;i=18001	KeyCredentialConfigurationType
ns=1;i=1035	DeleteNodesCount
ns=1;i=1034	AddReferencesCount
ns=1;i=1004	ServerUri
ns=1;i=1003	ClientDescription
ns=1;i=1006	LocaleIds
ns=1;i=1005	EndpointUrl
ns=1;i=1008	MaxResponseMessageSize
ns=1;i=1007	ActualSessionTimeout
ns=1;i=1009	ClientConnectionTime
ns=1;i=1000	SessionDiagnostics
ns=0;i=18011	KeyCredentialAuditEventType
ns=1;i=1002	SessionName
ns=1;i=1001	SessionId
ns=1;i=1015	UnauthorizedRequestCount
ns=1;i=1014	TotalRequestCount
ns=1;i=1017	HistoryReadCount
ns=1;i=1016	ReadCount
ns=1;i=1019	HistoryUpdateCount
ns=1;i=1018	WriteCount
ns=0;i=18028	ResourceUri
ns=0;i=18029	KeyCredentialUpdatedAuditEventType
ns=1;i=1011	CurrentSubscriptionsCount
ns=1;i=1010	ClientLastContactTime
ns=1;i=1013	CurrentPublishRequestsInQueue
ns=1;i=1012	CurrentMonitoredItemsCount
ns=1;i=1069	TotalCount
ns=1;i=1062	ErrorCount
ns=1;i=1061	TotalCount
ns=1;i=1064	ErrorCount
ns=1;i=1063	TotalCount
ns=1;i=1066	ErrorCount
ns=1;i=1065	TotalCount
ns=1;i=1068	ErrorCount
ns=1;i=1067	TotalCount
ns=1;i=1060	ErrorCount
ns=4;i=19001	SpeedOverride
ns=4;i=19002	Axes
ns=1;i=1073	TotalCount
ns=1;i=1072	ErrorCount
ns=1;i=1075	TotalCount
ns=1;i=1074	ErrorCount
ns=1;i=1077	TotalCount
ns=1;i=1076	ErrorCount
ns=1;i=1079	TotalCount
ns=1;i=1078	ErrorCount
ns=1;i=1071	TotalCount
ns=1;i=1070	ErrorCount
ns=1;i=1048	GatewayServerUri
ns=1;i=1047	ApplicationType
ns=1;i=1049	DiscoveryProfileUri
ns=1;i=1040	QueryFirstCount
ns=1;i=1042	RegisterNodesCount
ns=1;i=1041	QueryNextCount
ns=1;i=1044	ApplicationUri
ns=1;i=1043	UnregisterNodesCount
ns=1;i=1046	ApplicationName
ns=1;i=1045	ProductUri
ns=1;i=1059	TotalCount
ns=1;i=1058	ErrorCount
ns=1;i=1051	TotalCount
ns=1;i=1050	DiscoveryUrls
ns=1;i=1053	TotalCount
ns=1;i=1052	ErrorCount
ns=1;i=1055	TotalCount
ns=1;i=1054	ErrorCount
ns=1;i=1057	TotalCount
ns=1;i=1056	ErrorCount
ns=8;i=7130	ValueAsText
ns=8;i=7131	CommunicationProtocolType
ns=8;i=7136	ValueAsText
ns=8;i=7137	DeviceMappingNumber
ns=8;i=7138	DeviceZoneId
ns=8;i=7139	DeviceZoneId
ns=8;i=7132	EnumValues
ns=8;i=7133	ValueAsText
ns=8;i=7134	CommunicationProtocolType
ns=8;i=7135	EnumValues
ns=8;i=7140	IsNamespaceSubset
ns=8;i=7141	NamespacePublicationDate
ns=8;i=7142	NamespaceUri
ns=8;i=7147	EnumValues
ns=8;i=7148	EngineeringUnits
ns=8;i=7149	EngineeringUnits
ns=4;i=15518	TaskControls
ns=8;i=7143	NamespaceVersion
ns=3;i=6444	CmdFeedrate
ns=8;i=7144	StaticNodeIdTypes
ns=3;i=6445	EngineeringUnits
ns=8;i=7145	StaticNumericNodeIdRange
ns=8;i=7146	StaticStringNodeIdPattern
ns=3;i=6443	CmdPos
ns=0;i=9098	TransitionTime
ns=0;i=9093	AckedState
ns=0;i=9094	Id
ns=8;i=7150	EngineeringUnits
ns=8;i=7151	EngineeringUnits
ns=8;i=7152	EngineeringUnits
ns=8;i=7153	EngineeringUnits
ns=8;i=7158	EngineeringUnits
ns=8;i=7159	DeviceRevision
ns=3;i=6455	PosTcpWcsA
ns=8;i=7154	EngineeringUnits
ns=8;i=7155	EngineeringUnits
ns=3;i=6453	EURange
ns=8;i=7156	EngineeringUnits
ns=3;i=6454	RemDist
ns=8;i=7157	EngineeringUnits
ns=8;i=7161	ManufacturerUri
ns=8;i=7162	ProductCode
ns=8;i=7163	ProductInstanceUri
ns=8;i=7164	RevisionCounter
ns=8;i=7160	HardwareRevision
ns=8;i=7165	SoftwareRevision
ns=8;i=7166	YearOfConstruction
ns=0;i=9073	EnabledState
ns=0;i=9074	Id
ns=0;i=9070	InputArguments
ns=0;i=14479	AddPublishedDataItems
ns=0;i=14476	HasPubSubConnection
ns=0;i=14477	DataSetFolderType
ns=0;i=14478	<DataSetFolderName>
ns=4;i=5029	ParameterSet
ns=0;i=14486	InputArguments
ns=0;i=14487	<PublishedDataSetName>
ns=0;i=14489	ConfigurationVersion
ns=0;i=14482	AddPublishedEvents
ns=8;i=7103	EngineeringUnits
ns=0;i=14483	InputArguments
ns=8;i=7104	EURange
ns=0;i=14484	OutputArguments
ns=8;i=7105	MinValue
ns=0;i=14485	RemovePublishedDataSet
ns=8;i=7106	EngineeringUnits
ns=4;i=5016	ParameterSet
ns=8;i=7100	EngineeringUnits
ns=0;i=14480	InputArguments
ns=8;i=7101	EURange
ns=0;i=14481	OutputArguments
ns=8;i=7102	MaxValue
ns=4;i=5010	SafetyStates
ns=3;i=6482	CmdPos
ns=3;i=6483	RemDist
ns=8;i=7107	EURange
ns=3;i=6481	ActPos
ns=8;i=7108	MonitoringSensitivity
ns=8;i=7109	EnumValues
ns=4;i=19080	PowerTrains
ns=0;i=14497	InputArguments
ns=0;i=14498	OutputArguments
ns=0;i=14499	RemovePublishedDataSet
ns=0;i=14493	AddPublishedDataItems
ns=8;i=7114	EURange
ns=0;i=14494	InputArguments
ns=8;i=7115	SetRampUp
ns=0;i=14495	OutputArguments
ns=8;i=7116	EngineeringUnits
ns=0;i=14496	AddPublishedEvents
ns=8;i=7117	EURange
ns=8;i=7110	ValueAsText
ns=4;i=5004	ParameterSet
ns=8;i=7111	ResetMonitoring
ns=8;i=7112	SetRampDown
ns=4;i=5002	MotionDevices
ns=8;i=7113	EngineeringUnits
ns=4;i=5001	Controllers
ns=3;i=6493	CmdPos
ns=3;i=6491	PosTcpWcsB
ns=8;i=7118	SetValue
ns=3;i=6492	ActPos
ns=8;i=7119	EngineeringUnits
ns=8;i=7120	EURange
ns=8;i=7125	EngineeringUnits
ns=8;i=7126	EURange
ns=8;i=7127	ResetErrorById
ns=8;i=7128	ResetErrorById
ns=8;i=7121	UpperTolerance
ns=8;i=7122	EngineeringUnits
ns=8;i=7123	EURange
ns=8;i=7124	UpperTolerance2
ns=8;i=7129	EnumValues
ns=0;i=14556	InputArguments
ns=0;i=14557	OutputArguments
ns=0;i=14558	RemoveVariables
ns=0;i=15889	SubscribedDataSetMirrorDataType
ns=0;i=14559	InputArguments
ns=0;i=15883	SubscribedDataSetDataType
ns=0;i=13225	CertificateExpirationAlarmType
ns=0;i=14555	AddVariables
ns=0;i=15886	TargetVariablesDataType
ns=0;i=15880	DataSetReaderMessageDataType
ns=0;i=15898	UadpDataSetWriterMessageDataType
ns=0;i=15895	UadpWriterGroupMessageDataType
ns=0;i=14560	OutputArguments
ns=4;i=15483	Software
ns=0;i=14572	PublishedEventsType
ns=0;i=14586	EventNotifier
ns=0;i=14587	SelectedFields
ns=0;i=14588	Filter
ns=0;i=9118	EnabledState
ns=0;i=9119	Id
ns=0;i=9112	InputArguments
ns=0;i=9113	Confirm
ns=0;i=9114	InputArguments
ns=0;i=9115	UnshelveTime
ns=0;i=9110	FalseState
ns=0;i=9111	Acknowledge
ns=0;i=15843	Reset
ns=0;i=15844	Status
ns=0;i=15845	State
ns=0;i=15840	TransitionNumber
ns=0;i=15841	ErrorToIdle
ns=3;i=6516	RemDist
ns=0;i=15842	TransitionNumber
ns=0;i=9189	UnshelveTime
ns=0;i=9185	Id
ns=0;i=9188	TransitionTime
ns=0;i=9184	LastTransition
ns=0;i=14509	PublishedDataSetType
ns=0;i=9180	Id
ns=0;i=15836	TransitionNumber
ns=0;i=15837	ReadTransferToError
ns=0;i=15838	TransitionNumber
ns=0;i=15839	ApplyWriteToError
ns=0;i=14523	DataSetMetaDataType
ns=0;i=15854	WriterGroupMessageDataType
ns=0;i=14524	FieldMetaData
ns=0;i=14525	DataTypeDescription
ns=0;i=15857	PubSubConnectionDataType
ns=0;i=9178	ShelvingState
ns=0;i=9179	CurrentState
ns=0;i=9174	TransitionTime
ns=0;i=9176	TrueState
ns=0;i=9177	FalseState
ns=0;i=9170	Id
ns=4;i=15441	Level
ns=4;i=15440	CurrentUser
ns=4;i=5091	FlangeLoad
ns=0;i=14519	ConfigurationVersion
ns=0;i=14534	PublishedDataItemsType
ns=0;i=15866	ReaderGroupTransportDataType
ns=0;i=14533	KeyValuePair
ns=0;i=15860	ConnectionTransportDataType
ns=0;i=9167	TrueState
ns=0;i=9168	FalseState
ns=0;i=9169	SuppressedState
ns=0;i=9164	EffectiveDisplayName
ns=0;i=9165	TransitionTime
ns=0;i=9166	EffectiveTransitionTime
ns=0;i=9160	ActiveState
ns=0;i=9161	Id
ns=0;i=14528	EnumStrings
ns=0;i=15877	DataSetReaderTransportDataType
ns=0;i=14548	PublishedData
ns=0;i=15872	DataSetReaderDataType
ns=0;i=15874	OverrideValueHandling
ns=0;i=15875	EnumStrings
ns=3;i=6543	CmdOperationMode
ns=3;i=6544	PosTcpWcsC
ns=4;i=16794	PowerTrainType
ns=0;i=15869	ReaderGroupMessageDataType
ns=0;i=18079	DataSetWriterId
ns=0;i=18077	PublisherId
ns=0;i=18078	WriterGroupId
ns=0;i=18076	<DataSetReaderName>
ns=0;i=18073	IssuerEndpointUrl
ns=0;i=18072	ServiceUri
ns=0;i=18088	Status
ns=0;i=18089	State
ns=0;i=18082	MessageReceiveTimeout
ns=0;i=18080	DataSetMetaData
ns=0;i=18081	DataSetFieldContentMask
ns=0;i=15803	FileTransferStateMachineType
ns=0;i=15821	ApplyWrite
ns=0;i=15822	StateNumber
ns=0;i=15823	Error
ns=0;i=15824	StateNumber
ns=0;i=15820	StateNumber
ns=1;i=1084	ErrorCount
ns=1;i=1083	TotalCount
ns=1;i=1086	ErrorCount
ns=1;i=1085	TotalCount
ns=1;i=1088	ErrorCount
ns=1;i=1087	TotalCount
ns=1;i=1089	TotalCount
ns=1;i=1080	ErrorCount
ns=1;i=1082	ErrorCount
ns=1;i=1081	TotalCount
ns=0;i=15818	StateNumber
ns=0;i=15819	ReadTransfer
ns=0;i=15815	Idle
ns=0;i=15816	StateNumber
ns=0;i=15817	ReadPrepare
ns=0;i=15832	TransitionNumber
ns=0;i=15833	ApplyWriteToIdle
ns=0;i=15834	TransitionNumber
ns=0;i=15835	ReadPrepareToError
ns=0;i=15830	TransitionNumber
ns=0;i=14500	InputArguments
ns=0;i=15831	IdleToApplyWrite
ns=1;i=1095	TotalCount
ns=1;i=1094	ErrorCount
ns=1;i=1097	TotalCount
ns=1;i=1096	ErrorCount
ns=1;i=1099	TotalCount
ns=1;i=1098	ErrorCount
ns=1;i=1091	TotalCount
ns=1;i=1090	ErrorCount
ns=1;i=1093	TotalCount
ns=1;i=1092	ErrorCount
ns=0;i=15829	ReadTransferToIdle
ns=0;i=15825	IdleToReadPrepare
ns=0;i=15826	TransitionNumber
ns=0;i=15827	ReadPrepareToReadTransfer
ns=0;i=15828	TransitionNumber
ns=0;i=9109	TrueState
ns=0;i=9107	TransitionTime
ns=0;i=9101	FalseState
ns=0;i=9102	ConfirmedState
ns=0;i=9103	Id
ns=0;i=9100	TrueState
ns=0;i=18047	KeyCredentialDeletedAuditEventType
ns=8;i=1003	ExternalChannelsType
ns=8;i=1002	ExternalChannelType
ns=8;i=1005	MouldEvacuationType
ns=8;i=1004	MaintenanceInformationType
ns=8;i=1007	ExternalSensorType
ns=8;i=1006	LeakStopperType
ns=8;i=1009	TCDHelpOffNormalAlarmType
ns=8;i=1008	DeviceZoneType
ns=8;i=1010	OperationType
ns=8;i=1012	TCD_InterfaceType
ns=8;i=1011	TCDSpecificationType
ns=0;i=18069	ResourceUri
ns=0;i=19447	LastUpdateTime
ns=0;i=19448	UpdateFrequency
ns=5;i=6	PackMLBaseObjectType
ns=0;i=19446	TrustListId
ns=5;i=7	PackMLAlarmVariableType
ns=5;i=8	PackMLCountVariableType
ns=5;i=9	Type
ns=5;i=2	PackMLMachineStateMachineType
ns=5;i=3	PackMLBaseStateMachineType
ns=5;i=4	PackMLStatusObjectType
ns=3;i=6398	RemDist
ns=5;i=5	PackMLAdminObjectType
ns=3;i=6397	CmdPos
ns=0;i=19458	Message
ns=0;i=19459	Severity
ns=0;i=19456	ReceiveTime
ns=0;i=19454	SourceName
ns=0;i=19455	Time
ns=0;i=19452	EventType
ns=0;i=19453	SourceNode
ns=0;i=19450	CertificateExpired
ns=0;i=19451	EventId
ns=0;i=19467	EnabledState
ns=0;i=19468	Id
ns=0;i=19465	BranchId
ns=0;i=19466	Retain
ns=0;i=19464	ConditionName
ns=0;i=19461	ConditionClassName
ns=0;i=19460	ConditionClassId
ns=0;i=19478	LastSeverity
ns=0;i=19479	SourceTimestamp
ns=0;i=19476	Quality
ns=0;i=19477	SourceTimestamp
ns=5;i=1	PackMLExecuteStateMachineType
ns=0;i=20408	DataSetOrderingType
ns=8;i=7010	Reset
ns=8;i=7015	ExternalSensorModeOn
ns=8;i=7016	ExternalSensorModeOff
ns=3;i=6314	CmdPos
ns=8;i=7017	ExternalSensorModeOff
ns=3;i=6315	RemDist
ns=8;i=7018	ExternalSensorModeOn
ns=8;i=7011	AutoTuningOff
ns=3;i=6313	ActPos
ns=8;i=7012	AutoTuningOn
ns=8;i=7013	On
ns=8;i=7014	Off
ns=8;i=7019	Off
ns=8;i=7020	On
ns=8;i=7021	Off
ns=8;i=7026	SetMachineTime
ns=8;i=7027	AutoTuningOn
ns=3;i=6325	CmdPos
ns=8;i=7028	AutoTuningOff
ns=8;i=7029	AutoTuningOn
ns=3;i=6323	PosTcpBcsC
ns=8;i=7022	On
ns=3;i=6324	ActPos
ns=8;i=7023	AutoTuningOff
ns=8;i=7024	ResetMonitoring
ns=8;i=7025	Reset
ns=8;i=7030	Reset
ns=8;i=7031	Reset
ns=8;i=7032	GetCurrentPage
ns=3;i=5009	CncAxisList
ns=8;i=7037	ResetAllErrors
ns=8;i=7038	IdentifyDevice
ns=3;i=5008	test
ns=8;i=7039	ReduceToStandByOff
ns=3;i=5007	Default XML
ns=3;i=5002	<CncSpindle>
ns=8;i=7033	Reset
ns=8;i=7034	ResetMonitoring
ns=3;i=5001	Default Binary
ns=8;i=7035	ResetMonitoring
ns=3;i=5003	<CncChannel>
ns=8;i=7036	ResetMonitoring
ns=8;i=7040	ReduceToStandByOn
ns=8;i=7041	ResetMonitoring
ns=8;i=7042	ResetMonitoring
ns=8;i=7043	ResetAllErrors
ns=8;i=7048	ReduceToStandByOff
ns=3;i=5016	CncSpindleList
ns=8;i=7049	GetPage
ns=3;i=5019	<CncAxis>
ns=8;i=7044	IdentifyDevice
ns=4;i=15659	EngineeringUnits
ns=8;i=7045	SwitchOn
ns=8;i=7046	SwitchOff
ns=8;i=7047	ReduceToStandByOn
ns=3;i=5010	CncChannelList
ns=3;i=5028	CncChannelList
ns=3;i=5027	CncSpindleList
